x,count
1084,10
1085,10
1086,10
1087,10
1088,10
1089,315
1090,315
1091,315
1092,315
1093,315
1094,808
1095,808
1096,808
1097,808
1098,16
1099,16
1100,16
1101,16
1102,808
1103,808
1104,808
1105,808
1106,132
1107,132
1108,132
1109,132
1110,132
1111,132
1112,116
1113,116
1114,116
1115,116
1116,14
1117,14
1118,14
1119,14
1120,14
1121,14
1122,14
1123,290
1124,290
1125,290
1126,290
1127,290
1128,116
1129,116
1130,116
1131,116
1132,156
1133,156
1134,156
1135,156
1136,156
1137,156
1138,808
1139,808
1140,808
1141,808
1142,808
1143,808
1144,808
1145,808
1146,120
1147,120
1148,120
1149,120
1150,808
1151,808
1152,808
1153,808
1154,808
1155,808
1156,808
1157,808
1158,808
1159,808
1160,808
1161,808
1162,808
1163,808
1164,808
1165,808
1166,14
1167,14
1168,14
1169,14
1170,14
1171,14
1172,14
1173,808
1174,808
1175,808
1176,808
1177,808
1178,808
1179,808
1180,808
1181,290
1182,290
1183,290
1184,290
1185,290
1186,42
1187,42
1188,42
1189,42
1190,42
1191,42
1192,42
1193,45
1194,45
1195,45
1196,45
1197,45
1198,290
1199,290
1200,290
1201,290
1202,290
1203,132
1204,132
1205,132
1206,132
1207,132
1208,132
1209,808
1210,808
1211,808
1212,808
1213,5
1214,5
1215,5
1216,5
1217,5
1218,120
1219,120
1220,120
1221,120
1222,6
1223,6
1224,6
1225,6
1226,6
1227,6
1228,808
1229,808
1230,808
1231,808
1232,105
1233,105
1234,105
1235,105
1236,105
1237,105
1238,105
1239,808
1240,808
1241,808
1242,808
1243,45
1244,45
1245,45
1246,45
1247,45
1248,248
1249,248
1250,248
1251,248
1252,808
1253,808
1254,808
1255,808
1256,8
1257,8
1258,8
1259,8
1260,116
1261,116
1262,116
1263,116
1264,808
1265,808
1266,808
1267,808
1268,20
1269,20
1270,20
1271,20
1272,20
1273,16
1274,16
1275,16
1276,16
1277,808
1278,808
1279,808
1280,808
1281,315
1282,315
1283,315
1284,315
1285,315
1286,120
1287,120
1288,120
1289,120
1290,85
1291,85
1292,85
1293,85
1294,85
1295,156
1296,156
1297,156
1298,156
1299,156
1300,156
1301,108
1302,108
1303,108
1304,108
1305,108
1306,108
1307,315
1308,315
1309,315
1310,315
1311,315
1312,12
1313,12
1314,12
1315,12
1316,12
1317,12
1318,80
1319,80
1320,80
1321,80
1322,63
1323,63
1324,63
1325,63
1326,63
1327,63
1328,63
1329,120
1330,120
1331,120
1332,120
1333,290
1334,290
1335,290
1336,290
1337,290
1338,808
1339,808
1340,808
1341,808
1342,132
1343,132
1344,132
1345,132
1346,132
1347,132
1348,290
1349,290
1350,290
1351,290
1352,290
1353,248
1354,248
1355,248
1356,248
1357,248
1358,248
1359,248
1360,248
1361,105
1362,105
1363,105
1364,105
1365,105
1366,105
1367,105
1368,248
1369,248
1370,248
1371,248
1372,808
1373,808
1374,808
1375,808
1376,808
1377,808
1378,808
1379,808
1380,10
1381,10
1382,10
1383,10
1384,10
1385,44
1386,44
1387,44
1388,44
1389,808
1390,808
1391,808
1392,808
1393,315
1394,315
1395,315
1396,315
1397,315
1398,120
1399,120
1400,120
1401,120
1402,808
1403,808
1404,808
1405,808
1406,290
1407,290
1408,290
1409,290
1410,290
1411,44
1412,44
1413,44
1414,44
1415,808
1416,808
1417,808
1418,808
1419,108
1420,108
1421,108
1422,108
1423,108
1424,108
1425,116
1426,116
1427,116
1428,116
1429,100
1430,100
1431,100
1432,100
1433,100
1434,290
1435,290
1436,290
1437,290
1438,290
1439,808
1440,808
1441,808
1442,808
1443,808
1444,808
1445,808
1446,808
1447,808
1448,808
1449,808
1450,808
1451,132
1452,132
1453,132
1454,132
1455,132
1456,132
1457,108
1458,108
1459,108
1460,108
1461,108
1462,108
1463,315
1464,315
1465,315
1466,315
1467,315
1468,14
1469,14
1470,14
1471,14
1472,14
1473,14
1474,14
1475,18
1476,18
1477,18
1478,18
1479,18
1480,18
1481,18
1482,18
1483,18
1484,18
1485,18
1486,18
1487,24
1488,24
1489,24
1490,24
1491,24
1492,24
1493,120
1494,120
1495,120
1496,120
1497,248
1498,248
1499,248
1500,248
1501,808
1502,808
1503,808
1504,808
1505,248
1506,248
1507,248
1508,248
1509,290
1510,290
1511,290
1512,290
1513,290
1514,290
1515,290
1516,290
1517,290
1518,290
1519,248
1520,248
1521,248
1522,248
1523,63
1524,63
1525,63
1526,63
1527,63
1528,63
1529,63
1530,16
1531,16
1532,16
1533,16
1534,5
1535,5
1536,5
1537,5
1538,5
1539,80
1540,80
1541,80
1542,80
1543,80
1544,80
1545,80
1546,80
1547,808
1548,808
1549,808
1550,808
1551,808
1552,808
1553,808
1554,808
1555,54
1556,54
1557,54
1558,54
1559,54
1560,54
1561,7
1562,7
1563,7
1564,7
1565,7
1566,7
1567,7
1568,315
1569,315
1570,315
1571,315
1572,315
1573,808
1574,808
1575,808
1576,808
1577,808
1578,808
1579,808
1580,808
1581,120
1582,120
1583,120
1584,120
1585,808
1586,808
1587,808
1588,808
1589,100
1590,100
1591,100
1592,100
1593,100
1594,290
1595,290
1596,290
1597,290
1598,290
1599,808
1600,808
1601,808
1602,808
1603,24
1604,24
1605,24
1606,24
1607,315
1608,315
1609,315
1610,315
1611,315
1612,248
1613,248
1614,248
1615,248
1616,808
1617,808
1618,808
1619,808
1620,12
1621,12
1622,12
1623,12
1624,12
1625,12
1626,24
1627,24
1628,24
1629,24
1630,315
1631,315
1632,315
1633,315
1634,315
1635,808
1636,808
1637,808
1638,808
1639,24
1640,24
1641,24
1642,24
1643,8
1644,8
1645,8
1646,8
1647,8
1648,8
1649,8
1650,8
1651,290
1652,290
1653,290
1654,290
1655,290
1656,290
1657,290
1658,290
1659,290
1660,290
1661,808
1662,808
1663,808
1664,808
1665,120
1666,120
1667,120
1668,120
1669,56
1670,56
1671,56
1672,56
1673,56
1674,56
1675,56
1676,56
1677,85
1678,85
1679,85
1680,85
1681,85
1682,40
1683,40
1684,40
1685,40
1686,40
1687,40
1688,40
1689,40
1690,80
1691,80
1692,80
1693,80
1694,290
1695,290
1696,290
1697,290
1698,290
1699,100
1700,100
1701,100
1702,100
1703,100
1704,808
1705,808
1706,808
1707,808
1708,808
1709,808
1710,808
1711,808
1712,290
1713,290
1714,290
1715,290
1716,290
1717,808
1718,808
1719,808
1720,808
1721,5
1722,5
1723,5
1724,5
1725,5
1726,120
1727,120
1728,120
1729,120
1730,120
1731,120
1732,120
1733,120
1734,80
1735,80
1736,80
1737,80
1738,808
1739,808
1740,808
1741,808
1742,45
1743,45
1744,45
1745,45
1746,45
1747,108
1748,108
1749,108
1750,108
1751,108
1752,108
1753,315
1754,315
1755,315
1756,315
1757,315
1758,120
1759,120
1760,120
1761,120
1762,25
1763,25
1764,25
1765,25
1766,25
1767,44
1768,44
1769,44
1770,44
1771,808
1772,808
1773,808
1774,808
1775,45
1776,45
1777,45
1778,45
1779,45
1780,808
1781,808
1782,808
1783,808
1784,116
1785,116
1786,116
1787,116
1788,248
1789,248
1790,248
1791,248
1792,132
1793,132
1794,132
1795,132
1796,132
1797,132
1798,290
1799,290
1800,290
1801,290
1802,290
1803,315
1804,315
1805,315
1806,315
1807,315
1808,290
1809,290
1810,290
1811,290
1812,290
1813,808
1814,808
1815,808
1816,808
1817,808
1818,808
1819,808
1820,808
1821,290
1822,290
1823,290
1824,290
1825,290
1826,315
1827,315
1828,315
1829,315
1830,315
1831,85
1832,85
1833,85
1834,85
1835,85
1836,24
1837,24
1838,24
1839,24
1840,315
1841,315
1842,315
1843,315
1844,315
1845,808
1846,808
1847,808
1848,808
1849,290
1850,290
1851,290
1852,290
1853,290
1854,808
1855,808
1856,808
1857,808
1858,808
1859,808
1860,808
1861,808
1862,248
1863,248
1864,248
1865,248
1866,808
1867,808
1868,808
1869,808
1870,290
1871,290
1872,290
1873,290
1874,290
1875,315
1876,315
1877,315
1878,315
1879,315
1880,80
1881,80
1882,80
1883,80
1884,8
1885,8
1886,8
1887,8
1888,8
1889,8
1890,8
1891,8
1892,116
1893,116
1894,116
1895,116
1896,85
1897,85
1898,85
1899,85
1900,85
1901,315
1902,315
1903,315
1904,315
1905,315
1906,100
1907,100
1908,100
1909,100
1910,100
1911,808
1912,808
1913,808
1914,808
1915,54
1916,54
1917,54
1918,54
1919,54
1920,54
1921,116
1922,116
1923,116
1924,116
1925,808
1926,808
1927,808
1928,808
1929,5
1930,5
1931,5
1932,5
1933,5
1934,105
1935,105
1936,105
1937,105
1938,105
1939,105
1940,105
1941,100
1942,100
1943,100
1944,100
1945,100
1946,808
